Ego,Alter
E_378,A_374
E_378,A_375
E_396,A_371
E_396,A_372
E_392,A_371
E_392,A_372
E_400,A_371
E_400,A_373
E_382,A_372
E_382,A_375
E_395,A_371
E_395,A_376
E_397,A_371
E_397,A_372
E_558,A_371
E_558,A_372
E_398,A_371
E_398,A_372
E_402,A_372
E_402,A_375
E_388,A_371
E_388,A_375
E_401,A_371
E_401,A_375
E_559,A_371
E_559,A_372
E_554,A_371
E_554,A_373
E_555,A_371
E_555,A_375
E_404,A_371
E_404,A_372
E_399,A_372
E_399,A_376
E_557,A_371
E_557,A_373
E_775,A_371
E_775,A_372
E_776,A_372
E_776,A_373
E_777,A_371
E_777,A_372
E_778,A_371
E_778,A_372
E_779,A_371
E_779,A_372
E_780,A_371
E_780,A_372
E_781,A_371
E_781,A_373
E_782,A_372
E_782,A_373
E_783,A_371
E_783,A_372
E_784,A_374
E_784,A_375
E_785,A_374
E_785,A_375
E_788,A_371
E_788,A_376
E_794,A_375
E_794,A_376
E_725,A_371
E_725,A_372
E_795,A_371
E_795,A_373
E_796,A_372
E_796,A_375
E_797,A_372
E_797,A_375
E_792,A_372
E_792,A_376
E_804,A_373
E_804,A_375
E_799,A_371
E_799,A_372
E_800,A_373
E_800,A_375
E_801,A_371
E_801,A_375
E_808,A_372
E_808,A_373
E_803,A_373
E_803,A_376
E_810,A_371
E_810,A_372
E_805,A_371
E_805,A_375
E_806,A_373
E_806,A_375
E_807,A_371
E_807,A_372
E_814,A_372
E_814,A_375
E_809,A_371
E_809,A_376
E_822,A_371
E_822,A_372
E_811,A_373
E_811,A_376
E_813,A_371
E_813,A_373
E_820,A_371
E_820,A_373
E_815,A_371
E_815,A_374
E_812,A_373
E_812,A_374
E_828,A_371
E_828,A_373
E_817,A_372
E_817,A_373
E_818,A_371
E_818,A_372
E_825,A_374
E_825,A_375
E_826,A_373
E_826,A_374
E_821,A_371
E_821,A_373
E_834,A_371
E_834,A_375
E_823,A_372
E_823,A_373
E_824,A_371
E_824,A_372
E_831,A_373
E_831,A_375
E_836,A_371
E_836,A_372
E_827,A_372
E_827,A_375
E_835,A_374
E_835,A_375
E_829,A_372
E_829,A_375
E_830,A_371
E_830,A_372
E_769,A_372
E_769,A_375
E_837,A_371
E_837,A_372
E_833,A_372
E_833,A_376
E_320,A_315
E_320,A_317
E_321,A_315
E_321,A_317
E_322,A_316
E_322,A_317
E_323,A_315
E_323,A_317
E_324,A_315
E_324,A_319
E_325,A_314
E_325,A_315
E_327,A_314
E_327,A_318
E_328,A_315
E_328,A_317
E_329,A_316
E_329,A_317
E_330,A_315
E_330,A_316
E_332,A_314
E_332,A_316
E_333,A_315
E_333,A_316
E_334,A_318
E_334,A_319
E_335,A_314
E_335,A_319
E_336,A_316
E_336,A_317
E_337,A_314
E_337,A_319
E_338,A_315
E_338,A_317
E_331,A_316
E_331,A_317
