Ego,Alter
E_378,A_371
E_378,A_372
E_396,A_372
E_396,A_373
E_392,A_373
E_392,A_374
E_400,A_374
E_400,A_375
E_382,A_375
E_382,A_376
E_395,A_376
E_395,A_371
E_397,A_371
E_397,A_372
E_558,A_372
E_558,A_373
E_398,A_373
E_398,A_374
E_402,A_374
E_402,A_375
E_388,A_375
E_388,A_376
E_401,A_376
E_401,A_371
E_559,A_371
E_559,A_372
E_554,A_372
E_554,A_373
E_555,A_373
E_555,A_374
E_404,A_374
E_404,A_375
E_399,A_375
E_399,A_376
E_557,A_376
E_557,A_371
E_775,A_371
E_775,A_372
E_776,A_372
E_776,A_373
E_777,A_373
E_777,A_374
E_778,A_374
E_778,A_375
E_779,A_375
E_779,A_376
E_780,A_376
E_780,A_371
E_781,A_371
E_781,A_372
E_782,A_372
E_782,A_373
E_783,A_373
E_783,A_374
E_784,A_374
E_784,A_375
E_785,A_375
E_785,A_376
E_788,A_376
E_788,A_371
E_794,A_371
E_794,A_372
E_725,A_372
E_725,A_373
E_795,A_373
E_795,A_374
E_796,A_374
E_796,A_375
E_797,A_375
E_797,A_376
E_792,A_376
E_792,A_371
E_804,A_371
E_804,A_372
E_799,A_372
E_799,A_373
E_800,A_373
E_800,A_374
E_801,A_374
E_801,A_375
E_808,A_375
E_808,A_376
E_803,A_376
E_803,A_371
E_810,A_371
E_810,A_372
E_805,A_372
E_805,A_373
E_806,A_373
E_806,A_374
E_807,A_374
E_807,A_375
E_814,A_375
E_814,A_376
E_809,A_376
E_809,A_371
E_822,A_371
E_822,A_372
E_811,A_372
E_811,A_373
E_813,A_374
E_813,A_375
E_820,A_375
E_820,A_376
E_815,A_376
E_815,A_371
E_812,A_373
E_812,A_374
E_828,A_371
E_828,A_372
E_817,A_372
E_817,A_373
E_818,A_373
E_818,A_374
E_825,A_374
E_825,A_375
E_826,A_375
E_826,A_376
E_821,A_376
E_821,A_371
E_834,A_371
E_834,A_372
E_823,A_372
E_823,A_373
E_824,A_373
E_824,A_374
E_831,A_374
E_831,A_375
E_836,A_375
E_836,A_376
E_827,A_376
E_827,A_371
E_835,A_371
E_835,A_372
E_829,A_372
E_829,A_373
E_830,A_373
E_830,A_374
E_769,A_374
E_769,A_375
E_837,A_375
E_837,A_376
E_833,A_376
E_833,A_371
E_320,A_314
E_320,A_315
E_321,A_315
E_321,A_316
E_322,A_316
E_322,A_317
E_323,A_317
E_323,A_318
E_324,A_318
E_324,A_319
E_325,A_319
E_325,A_314
E_327,A_315
E_327,A_316
E_328,A_316
E_328,A_317
E_329,A_317
E_329,A_318
E_330,A_318
E_330,A_319
E_332,A_314
E_332,A_315
E_333,A_315
E_333,A_316
E_334,A_316
E_334,A_317
E_335,A_317
E_335,A_318
E_336,A_318
E_336,A_319
E_337,A_319
E_337,A_314
E_338,A_314
E_338,A_315
E_331,A_319
E_331,A_314
