name,gender,race,age,unique,shapley,cq,trial
E_676,Male,NonWhite,18-24,4,1.0,1.0,6
E_677,Male,White,25-34,4,1.0,1.0,6
E_678,Male,White,25-34,0,1.0,1.0,6
E_685,NonMale,White,45-54,0,1.0,1.0,6
E_704,Male,White,45-54,2,1.0,1.0,6
E_681,Male,White,25-34,3,1.0,1.0,6
E_700,NonMale,White,35-44,2,1.0,1.0,6
E_683,NonMale,White,35-44,1,1.0,1.0,6
E_684,Male,White,35-44,4,1.0,1.0,6
E_703,Male,White,35-44,0,1.0,1.0,6
E_721,Male,White,18-24,1,1.0,1.0,6
E_705,Male,White,25-34,6,1.0,1.0,6
E_712,NonMale,White,45-54,2,1.0,1.0,6
E_701,Male,White,25-34,1,1.0,1.0,6
E_714,NonMale,White,45-54,2,1.0,1.0,6
E_715,NonMale,NonWhite,35-44,1,1.0,1.0,6
E_722,Male,NonWhite,45-54,3,1.0,1.0,6
E_717,NonMale,White,25-34,4,1.0,1.0,6
E_724,Male,White,45-54,1,1.0,1.0,6
E_737,Male,White,18-24,0,1.0,1.0,6
E_744,NonMale,White,25-34,4,1.0,1.0,6
E_727,NonMale,NonWhite,35-44,0,1.0,1.0,6
E_728,Male,NonWhite,35-44,1,1.0,1.0,6
E_729,Male,White,55+,6,1.0,1.0,6
E_730,NonMale,White,55+,0,1.0,1.0,6
E_743,Male,White,55+,2,1.0,1.0,6
E_750,NonMale,White,25-34,4,1.0,1.0,6
E_751,NonMale,White,55+,3,1.0,1.0,6
E_734,NonMale,White,25-34,1,1.0,1.0,6
E_735,Male,NonWhite,25-34,3,1.0,1.0,6
E_748,NonMale,NonWhite,45-54,2,1.0,1.0,6
E_749,Male,NonWhite,18-24,5,1.0,1.0,6
E_756,Male,White,25-34,1,1.0,1.0,6
E_757,Male,White,25-34,0,1.0,1.0,6
E_740,Male,White,18-24,1,1.0,1.0,6
E_741,NonMale,NonWhite,25-34,2,1.0,1.0,6
E_754,NonMale,White,45-54,2,1.0,1.0,6
E_755,NonMale,NonWhite,25-34,1,1.0,1.0,6
E_762,NonMale,White,55+,1,1.0,1.0,6
E_770,Male,NonWhite,35-44,0,1.0,1.0,6
E_746,Male,White,18-24,2,1.0,1.0,6
E_747,NonMale,White,35-44,0,1.0,1.0,6
E_761,NonMale,NonWhite,25-34,1,1.0,1.0,6
E_765,NonMale,White,35-44,2,1.0,1.0,6
E_752,Male,White,35-44,0,1.0,1.0,6
E_753,NonMale,White,35-44,2,1.0,1.0,6
E_774,Male,NonWhite,35-44,3,1.0,1.0,6
E_758,NonMale,White,55+,0,1.0,1.0,6
E_759,NonMale,White,25-34,1,1.0,1.0,6
E_866,NonMale,White,35-44,1,1.0,1.0,6
E_869,NonMale,NonWhite,25-34,3,1.0,1.0,6
E_868,NonMale,White,45-54,0,1.0,1.0,6
E_862,Male,White,25-34,2,1.0,1.0,6
E_877,NonMale,NonWhite,45-54,3,1.0,1.0,6
E_850,NonMale,White,35-44,2,1.0,1.0,6
E_839,Male,White,35-44,0,1.0,1.0,6
E_840,Male,White,25-34,3,1.0,1.0,6
E_841,Male,White,45-54,1,1.0,1.0,6
E_842,Male,White,55+,3,1.0,1.0,6
E_856,Male,White,25-34,1,1.0,1.0,6
E_845,NonMale,White,45-54,1,1.0,1.0,6
E_846,Male,White,25-34,3,1.0,1.0,6
E_847,Male,White,45-54,0,1.0,1.0,6
E_848,NonMale,White,35-44,0,1.0,1.0,6
E_849,NonMale,NonWhite,45-54,3,1.0,1.0,6
E_857,NonMale,NonWhite,25-34,2,1.0,1.0,6
E_851,NonMale,White,35-44,2,1.0,1.0,6
E_852,Male,White,25-34,1,1.0,1.0,6
E_853,Male,White,35-44,2,1.0,1.0,6
E_832,NonMale,White,35-44,1,1.0,1.0,6
E_875,Male,NonWhite,25-34,2,1.0,1.0,6
E_879,NonMale,NonWhite,45-54,2,1.0,1.0,6
E_688,NonMale,White,45-54,2,1.0,1.0,5
E_689,NonMale,White,55+,2,1.0,1.0,5
E_690,NonMale,White,25-34,1,1.0,1.0,5
E_691,NonMale,White,55+,1,1.0,1.0,5
E_692,NonMale,White,35-44,5,1.0,1.0,5
E_693,Male,White,25-34,2,1.0,1.0,5
E_694,Male,White,55+,1,1.0,1.0,5
E_695,Male,White,45-54,0,1.0,1.0,5
E_696,NonMale,White,35-44,1,1.0,1.0,5
E_698,NonMale,White,55+,3,1.0,1.0,5
E_699,NonMale,White,45-54,2,1.0,1.0,5
E_706,NonMale,White,35-44,1,1.0,1.0,5
E_708,Male,White,25-34,2,1.0,1.0,5
E_718,NonMale,White,35-44,1,1.0,1.0,5
E_710,NonMale,NonWhite,25-34,1,1.0,1.0,5
E_711,NonMale,White,35-44,1,1.0,1.0,5
E_719,NonMale,NonWhite,45-54,2,1.0,1.0,5
E_707,Male,White,25-34,0,1.0,1.0,5
A_371,Male,White,25-34,6,6.000000000000002,14.466790121697041,6
A_372,Male,NonWhite,25-34,5,5.333333333333337,10.886848627647367,6
A_373,NonMale,White,35-44,4,5.0000000000000036,7.2827646381802325,6
A_374,Male,White,18-24,5,5.333333333333337,5.514579244731447,6
A_375,Male,NonWhite,25-34,4,5.0000000000000036,8.221919873929224,6
A_376,NonMale,NonWhite,25-34,3,4.333333333333337,5.61122778314857,6
A_314,NonMale,White,25-34,1,3.3333333333333326,5.616408440367886,5
A_315,Male,White,25-34,5,5.500000000000003,9.493062180054956,5
A_316,NonMale,White,35-44,5,5.500000000000003,8.146963615072679,5
A_317,Male,White,25-34,6,6.000000000000002,16.99210414538178,5
A_318,Male,NonWhite,18-24,4,4.833333333333337,4.2237039929120455,5
A_319,NonMale,NonWhite,25-34,4,4.833333333333337,6.447035419564757,5
