egoID,roundID,NumPopularAlters,Jaccard,u,r,Q
29,r_1,a_1,0.045454545454545456,1,2.375,4.17919064440129
30,r_1,a_0,0.2222222222222222,1,1.75,2.864746181327753
31,r_1,a_0,0.2,0,2.25,2.1890724918243265
32,r_1,a_0,0.2,1,2.375,3.1301746425607666
33,r_1,a_1,0.09090909090909091,1,2.125,7.047546321563513
38,r_1,a_2,0.1111111111111111,1,2.0833333333333335,5.629811647298482
39,r_1,a_1,0.1,1,2.5,5.265919864043699
40,r_1,a_0,0.14545454545454545,0,1.875,4.1227679663151635
41,r_1,a_0,0.2,1,2.0,2.406674420188919
42,r_1,a_0,0.26666666666666666,0,2.25,3.140300298894204
43,r_1,a_1,0.1611111111111111,2,2.125,7.131433254942156
44,r_1,a_2,0.2,2,2.375,3.656872358981338
47,r_1,a_1,0.26666666666666666,1,2.0,2.0
49,r_1,a_0,0.2222222222222222,1,2.625,1.9527613383950089
48,r_1,a_0,0.2,2,2.5,2.569679742680573
50,r_1,a_0,0.2,2,2.25,3.7042666615356903
52,r_1,a_1,0.4571428571428572,1,2.375,1.5668299634976166
46,r_1,a_2,0.26666666666666666,2,2.375,3.843262291762343
67,r_1,a_1,0.09090909090909091,1,2.5,4.930697509781684
68,r_1,a_0,0.35,1,2.4166666666666665,2.9509170413709898
69,r_1,a_0,0.3333333333333333,0,2.625,2.213246063351993
71,r_1,a_1,0.2986111111111111,1,2.0,1.905622228791684
72,r_1,a_2,0.09090909090909091,2,2.4166666666666665,5.700618197204015
73,r_1,a_1,0.2,1,2.125,2.4615476117186805
74,r_1,a_0,0.07142857142857142,0,2.625,7.230661391013057
75,r_1,a_0,0.26666666666666666,1,2.5,5.109449411068296
77,r_1,a_1,0.2375,1,2.1875,6.810776415420062
78,r_1,a_2,0.14545454545454545,3,2.4375,8.053535591296335
79,r_1,a_1,0.29545454545454547,0,2.0833333333333335,7.635440517987241
80,r_1,a_0,0.26666666666666666,1,2.5,3.1128936472958317
81,r_1,a_0,0.4732142857142857,1,2.1,5.4750063514110865
82,r_1,a_0,0.29545454545454547,1,2.375,1.795642298469612
83,r_1,a_1,0.14545454545454545,1,2.125,2.546276490059059
84,r_1,a_2,0.2121212121212121,1,3.25,3.090753084643941
85,r_1,a_0,0.2,0,3.0,4.383347420663995
86,r_1,a_0,0.3392857142857143,0,2.5,2.559697418795931
29,r_2,a_0,0.1,1,3.875,5.394269349668519
30,r_2,a_1,0.1,1,3.0,5.971074975950404
31,r_2,a_0,0.2121212121212121,1,3.0,5.090473106872166
32,r_2,a_0,0.0,0,3.5,3.147855887573029
33,r_2,a_1,0.045454545454545456,1,3.125,6.021709315028298
38,r_2,a_1,0.14545454545454545,0,3.375,5.049707447267528
39,r_2,a_1,0.1,0,3.25,4.898336457946727
40,r_2,a_0,0.1,1,3.25,4.806802478907197
41,r_2,a_1,0.05,2,3.375,4.7921129381388825
42,r_2,a_1,0.1,0,2.75,2.2715306890657625
43,r_2,a_1,0.0,1,2.6666666666666665,7.608962628292031
44,r_2,a_1,0.09090909090909091,0,3.625,3.5786635845668817
47,r_2,a_0,0.05,0,2.375,1.0
49,r_2,a_1,0.1111111111111111,1,4.0,5.869326646277417
48,r_2,a_0,0.05,1,3.125,4.323576901095059
50,r_2,a_0,0.045454545454545456,0,3.5,3.9495518444032673
52,r_2,a_1,0.1,2,3.25,3.2449428065285244
46,r_2,a_1,0.0,1,3.5,5.756133521287958
67,r_2,a_0,0.1,0,3.375,4.590103053448183
68,r_2,a_0,0.045454545454545456,0,2.25,3.2607190868106337
69,r_2,a_0,0.1,1,3.25,3.1829912561079454
71,r_2,a_1,0.09090909090909091,1,3.375,2.329660329017559
72,r_2,a_1,0.09090909090909091,2,3.375,8.670100425036779
73,r_2,a_0,0.045454545454545456,0,3.25,3.6654963708220447
74,r_2,a_0,0.0,0,2.75,3.3133834007128495
75,r_2,a_0,0.045454545454545456,1,3.875,4.2803254366800685
77,r_2,a_1,0.05,0,3.375,6.682782763233609
78,r_2,a_1,0.1111111111111111,0,3.375,5.6232580724031855
79,r_2,a_0,0.045454545454545456,1,3.5833333333333335,7.178406159365202
80,r_2,a_0,0.14545454545454545,1,2.875,1.8634200985383542
81,r_2,a_0,0.09090909090909091,1,3.0,3.3679896018791844
82,r_2,a_0,0.14545454545454545,1,3.0,3.5528360754412374
83,r_2,a_1,0.1,0,3.0,5.182429399538835
84,r_2,a_1,0.0,1,4.125,1.9514570374250857
85,r_2,a_0,0.05,0,2.875,3.0438914238975974
86,r_2,a_0,0.0,0,3.375,1.0
29,r_3,a_1,0.05,1,3.375,4.507066184582128
30,r_3,a_1,0.1111111111111111,0,3.25,3.6594565000346932
31,r_3,a_1,0.1611111111111111,0,3.875,3.6026912765956007
32,r_3,a_1,0.14545454545454545,3,3.6666666666666665,4.859833823937327
33,r_3,a_1,0.1,2,3.75,5.2858046617893475
38,r_3,a_2,0.0,0,3.375,2.8713593339792416
39,r_3,a_1,0.18055555555555555,0,3.0,4.316212771056998
40,r_3,a_1,0.14545454545454545,1,3.5,3.248473982920718
41,r_3,a_2,0.09090909090909091,1,3.375,2.4730851270100764
42,r_3,a_1,0.045454545454545456,0,3.125,1.0
43,r_3,a_2,0.0,5,3.3333333333333335,7.293229507000657
44,r_3,a_2,0.2698412698412698,1,3.0,4.14497629304841
47,r_3,a_1,0.0,2,3.0,2.806872957008956
49,r_3,a_2,0.045454545454545456,1,3.625,5.312064983898323
48,r_3,a_1,0.14545454545454545,2,3.0,4.486964979802947
50,r_3,a_2,0.05,2,3.125,4.213871563830731
52,r_3,a_2,0.1,1,2.875,3.5193681428095958
46,r_3,a_1,0.2,1,3.125,2.1284615624498975
67,r_3,a_1,0.26666666666666666,1,3.0,2.896812218872607
68,r_3,a_1,0.14545454545454545,0,2.25,3.5762570952854076
69,r_3,a_1,0.2121212121212121,1,3.375,2.1126570044350377
71,r_3,a_1,0.2,1,3.125,2.104347522809337
72,r_3,a_2,0.14545454545454545,0,3.125,5.7182245099066
73,r_3,a_1,0.09090909090909091,0,2.75,3.2762574488401706
74,r_3,a_1,0.0,0,3.625,0.0
75,r_3,a_1,0.14545454545454545,0,3.5,4.348598988771236
77,r_3,a_1,0.18055555555555555,1,3.5,7.305461478005593
78,r_3,a_2,0.045454545454545456,1,3.1666666666666665,7.867510648418788
79,r_3,a_1,0.09090909090909091,1,3.1666666666666665,5.077501930631941
80,r_3,a_1,0.14545454545454545,0,2.875,1.9387456011699618
81,r_3,a_1,0.14545454545454545,0,3.3125,4.319178699895183
82,r_3,a_0,0.09090909090909091,2,3.5,4.228569344719074
83,r_3,a_1,0.1,0,3.0,4.565387248070232
84,r_3,a_2,0.0,2,3.0,5.637270678243277
85,r_3,a_0,0.2,2,3.5,5.200194276485689
86,r_3,a_0,0.1111111111111111,0,4.375,2.1717088532856046
29,r_4,a_1,0.09090909090909091,0,3.375,5.028317852943694
30,r_4,a_1,0.0,0,3.25,2.5160577863681395
31,r_4,a_0,0.0,1,3.3333333333333335,6.184960110172156
32,r_4,a_0,0.1111111111111111,1,2.875,3.2795249803566637
33,r_4,a_1,0.09090909090909091,1,3.625,6.869696886876659
38,r_4,a_2,0.0,1,4.125,6.624587453826375
39,r_4,a_1,0.0,0,3.875,3.1746255517309434
40,r_4,a_1,0.045454545454545456,2,3.75,4.396433372143247
41,r_4,a_1,0.05,0,2.875,3.049166251084983
42,r_4,a_0,0.045454545454545456,0,3.25,3.572659420471976
43,r_4,a_2,0.0,3,3.1666666666666665,4.210446463973709
44,r_4,a_2,0.0,0,2.5,2.9051038955792334
47,r_4,a_1,0.20535714285714285,2,4.125,3.08181738943987
49,r_4,a_1,0.10555555555555556,1,3.375,4.211224871988825
48,r_4,a_2,0.05,1,3.0,4.430414646176065
50,r_4,a_2,0.05,3,3.3333333333333335,8.526585939003358
52,r_4,a_1,0.0,0,4.25,1.5363738013851755
46,r_4,a_1,0.05,0,3.6875,2.310776872622827
67,r_4,a_1,0.0,0,2.75,3.3827507912620005
68,r_4,a_0,0.09545454545454546,1,3.25,4.081924862005097
69,r_4,a_0,0.1,1,4.125,1.9154489664853769
71,r_4,a_1,0.2121212121212121,2,3.125,4.481432849190936
72,r_4,a_2,0.14545454545454545,1,3.75,2.0420232157390217
73,r_4,a_1,0.2,2,3.75,1.665534959852967
74,r_4,a_0,0.0,0,3.0,0.0
75,r_4,a_0,0.15656565656565657,3,3.4166666666666665,11.065728900723071
77,r_4,a_1,0.1,1,3.5,5.142045624231151
78,r_4,a_2,0.0,2,3.8333333333333335,5.582061536425549
79,r_4,a_1,0.09090909090909091,1,2.625,4.427026839186768
80,r_4,a_0,0.05,0,4.0,3.9634984283941357
81,r_4,a_0,0.15000000000000002,1,3.375,3.7482088006413385
82,r_4,a_0,0.09090909090909091,2,3.75,5.638192981756915
83,r_4,a_1,0.045454545454545456,1,3.375,4.624706932167749
84,r_4,a_2,0.1611111111111111,2,3.375,4.559754705747623
85,r_4,a_0,0.14545454545454545,1,3.3333333333333335,6.276136350410866
86,r_4,a_0,0.05555555555555555,0,3.375,2.261750003497439
29,r_5,a_1,0.2,1,2.25,8.287822693645376
30,r_5,a_1,0.18055555555555555,2,2.375,3.8061819812408655
31,r_5,a_0,0.2222222222222222,0,2.625,4.398815132134082
32,r_5,a_0,0.2,0,2.625,3.928906934328385
33,r_5,a_1,0.14545454545454545,2,2.25,6.1831246228536685
38,r_5,a_2,0.0,1,2.75,5.421548477770048
39,r_5,a_1,0.14545454545454545,1,2.5,3.082922362346149
40,r_5,a_2,0.05,2,3.0,4.4934431902874215
41,r_5,a_1,0.1,1,2.75,5.572902139504875
42,r_5,a_0,0.2986111111111111,0,2.5,2.146998302906174
43,r_5,a_2,0.05555555555555555,2,2.25,6.602226175937252
44,r_5,a_2,0.0,0,2.5,1.6260178573155635
47,r_5,a_1,0.14545454545454545,1,2.875,4.783855692718357
49,r_5,a_1,0.1,1,2.75,3.7537975127765364
48,r_5,a_2,0.14545454545454545,1,2.5,3.5112176223653124
50,r_5,a_2,0.05,1,2.3333333333333335,6.767016176261566
52,r_5,a_1,0.09090909090909091,2,2.625,2.1022300310420103
46,r_5,a_1,0.1,0,2.875,2.383607553372982
67,r_5,a_1,0.14545454545454545,3,3.3333333333333335,5.462630622050472
68,r_5,a_0,0.05,0,3.0,3.2989119942703207
69,r_5,a_0,0.09090909090909091,1,3.0833333333333335,4.607303410002853
71,r_5,a_1,0.0,0,2.125,3.8286447667807293
72,r_5,a_2,0.045454545454545456,1,2.9166666666666665,4.83295570958769
73,r_5,a_1,0.26666666666666666,1,2.75,2.155217321494833
74,r_5,a_0,0.0625,0,2.875,6.953455048983422
75,r_5,a_0,0.26666666666666666,2,2.375,7.866142208754797
77,r_5,a_1,0.14545454545454545,1,3.0,10.146819187630706
78,r_5,a_2,0.1,1,2.875,14.991575251361672
79,r_5,a_1,0.045454545454545456,1,2.6875,10.705883151242846
80,r_5,a_0,0.2222222222222222,1,3.0,3.063929515976959
81,r_5,a_0,0.14545454545454545,2,2.625,2.291811522310993
82,r_5,a_0,0.35,1,2.125,6.664039744588378
83,r_5,a_1,0.2121212121212121,1,2.875,4.839530642533706
84,r_5,a_2,0.045454545454545456,0,2.375,4.3336263836441695
85,r_5,a_0,0.2,1,2.4375,7.6660500621443255
86,r_5,a_0,0.25,0,3.625,1.8833913815583874
119,r_1,a_1,0.0,2,4.3125,8.518056910159599
102,r_1,a_1,0.05,5,4.5,5.609111521342947
103,r_1,a_1,0.26666666666666666,1,3.5,9.802483103430385
104,r_1,a_2,0.14545454545454545,1,3.4375,4.473738171372088
105,r_1,a_1,0.0,4,4.75,6.4378410836159
106,r_1,a_0,0.05555555555555555,2,4.0625,6.752552829858435
107,r_1,a_1,0.2375,3,4.5,10.824057383892715
108,r_1,a_1,0.14545454545454545,2,3.7083333333333335,5.615135468291236
109,r_1,a_1,0.045454545454545456,1,3.4375,4.344392568320436
110,r_1,a_2,0.2121212121212121,3,3.625,6.153378286890845
117,r_1,a_1,0.125,4,4.2,8.942132756229476
118,r_1,a_0,0.10555555555555556,2,3.375,3.6559091472116183
113,r_1,a_1,0.1111111111111111,2,4.0625,10.532946793575315
114,r_1,a_1,0.1111111111111111,1,3.875,2.4115322943882957
115,r_1,a_1,0.18055555555555555,1,4.0625,4.4065188937615645
116,r_1,a_2,0.2121212121212121,2,3.75,4.555988096933983
120,r_1,a_1,0.1,3,4.05,7.710253936151435
121,r_1,a_0,0.18333333333333335,1,3.375,4.13754738982621
130,r_1,a_1,0.045454545454545456,3,4.0625,5.982456551173216
132,r_1,a_2,0.26666666666666666,2,4.625,7.059096793452646
133,r_1,a_1,0.09545454545454546,1,3.9375,3.2614750899307428
134,r_1,a_0,0.10555555555555556,3,4.375,4.281260142472284
135,r_1,a_1,0.1,3,4.3125,5.4660863426763875
137,r_1,a_1,0.045454545454545456,1,4.0625,4.824863290774166
140,r_1,a_0,0.05555555555555555,2,3.75,3.6698407982101418
142,r_1,a_1,0.18055555555555555,2,3.7916666666666665,5.705557225225534
143,r_1,a_1,0.3333333333333333,1,4.0625,5.20498509179834
144,r_1,a_2,0.2121212121212121,2,3.875,6.6314074573343404
146,r_1,a_0,0.1875,2,3.25,4.753204884218649
147,r_1,a_1,0.14545454545454545,2,3.5625,9.451336356940127
